state|district_id|district name|population
TX|35|Congressional District 35 (115th Congress), Texas|830041.0
TX|36|Congressional District 36 (115th Congress), Texas|742474.0
UT|1|Congressional District 1 (115th Congress), Utah|763612.0
UT|2|Congressional District 2 (115th Congress), Utah|765809.0
UT|3|Congressional District 3 (115th Congress), Utah|767012.0
UT|4|Congressional District 4 (115th Congress), Utah|805400.0
VA|1|Congressional District 1 (115th Congress), Virginia|805159.0
VA|2|Congressional District 2 (115th Congress), Virginia|741514.0
VA|3|Congressional District 3 (115th Congress), Virginia|739840.0
VA|4|Congressional District 4 (115th Congress), Virginia|771899.0
VA|5|Congressional District 5 (115th Congress), Virginia|727064.0
VA|6|Congressional District 6 (115th Congress), Virginia|752763.0
VA|7|Congressional District 7 (115th Congress), Virginia|790084.0
VA|8|Congressional District 8 (115th Congress), Virginia|801609.0
VA|9|Congressional District 9 (115th Congress), Virginia|711755.0
VA|10|Congressional District 10 (115th Congress), Virginia|850118.0
VA|11|Congressional District 11 (115th Congress), Virginia|778215.0
VT|0|Congressional District (at Large) (115th Congress), Vermont|623657.0
WA|1|Congressional District 1 (115th Congress), Washington|744868.0
WA|2|Congressional District 2 (115th Congress), Washington|745184.0
WA|3|Congressional District 3 (115th Congress), Washington|731931.0
WA|4|Congressional District 4 (115th Congress), Washington|724053.0
WA|5|Congressional District 5 (115th Congress), Washington|716859.0
WA|6|Congressional District 6 (115th Congress), Washington|713112.0
WA|7|Congressional District 7 (115th Congress), Washington|768408.0
WA|8|Congressional District 8 (115th Congress), Washington|757166.0
WA|9|Congressional District 9 (115th Congress), Washington|765319.0
WA|10|Congressional District 10 (115th Congress), Washington|738843.0
WI|1|Congressional District 1 (115th Congress), Wisconsin|715529.0
WI|2|Congressional District 2 (115th Congress), Wisconsin|761806.0
WI|3|Congressional District 3 (115th Congress), Wisconsin|720944.0
WI|4|Congressional District 4 (115th Congress), Wisconsin|708971.0
WI|5|Congressional District 5 (115th Congress), Wisconsin|730386.0
WI|6|Congressional District 6 (115th Congress), Wisconsin|715060.0
WI|7|Congressional District 7 (115th Congress), Wisconsin|710385.0
WI|8|Congressional District 8 (115th Congress), Wisconsin|732402.0
WV|1|Congressional District 1 (115th Congress), West Virginia|611376.0
WV|2|Congressional District 2 (115th Congress), West Virginia|621635.0
WV|3|Congressional District 3 (115th Congress), West Virginia|582846.0
WY|0|Congressional District (at Large) (115th Congress), Wyoming|579315.0
