id,name,artists,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4QtiVmuA88tPQiCOHZuQ5,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,Pop,0.792,0.895,1,-3.112,0,0.0589,0.165,0,0.0501,0.794,94.968,201526,4
6Za3190Sbw39BBC77WSS1,Criminal,Natti Natasha,Reggaeton,0.814,0.813,2,-3.023,0,0.0561,0.03,9.33E-05,0.255,0.839,79.997,232550,4
1ZAyjvIk9YiD76yYy0TEG,Plug Walk,Rich The Kid,Hip-Hop/Rap,0.876,0.519,11,-6.531,1,0.143,0.202,0,0.108,0.158,94.981,175230,4
0u2P5u6lvoDfwTYjAADbn,lovely (with Khalid),Billie Eilish,Alternative/Indie,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,4
2UVbBKQOdFAekPTRsnkzc,Stir Fry,Migos,Hip-Hop/Rap,0.815,0.816,2,-5.474,1,0.269,0.00299,0,0.159,0.498,181.967,190288,4
7KXjTSCq5nL1LoYtL7XAw,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39E-05,0.0958,0.421,150.011,177000,4
48zFZh27QU5qsrBjn4C2F,Vaina Loca,Ozuna,Reggaeton,0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.983,176133,4
1bhUWB0zJMIKr9yVPrkEu,Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,Pop,0.587,0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,259550,3
5cepAtqnEQ6yVG6088zMM,Coraz?n (feat. Nego do Borel),Maluma,Reggaeton,0.722,0.738,9,-6.073,0,0.247,0.328,1.47E-05,0.198,0.748,198.075,184720,4
5Z3GHaZ6ec9bsiI5Benrb,Young Dumb & Broke,Khalid,R&B,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66E-05,0.165,0.394,136.949,202547,4
5Y9fnynLlIvqtM710MHzf,S?guelo Bailando,Ozuna,Reggaeton,0.855,0.664,9,-7.11,0,0.0607,0.165,3.97E-05,0.0937,0.626,98.015,226800,4
3Ga6eKrUFf12ouh9Yw3v2,Downtown,Anitta,Reggaeton,0.775,0.679,4,-4.985,0,0.135,0.18,7.26E-05,0.068,0.619,166.008,193456,4
3xcCix7Jv1Rp90YVmgo35,Bella,Wolfine,Reggaeton,0.909,0.493,3,-6.688,1,0.0735,0.128,0.000147,0.127,0.844,94.016,197120,4
5N5k9nd479b1xpDZ4usjr,Promises (with Sam Smith),Calvin Harris,Dance/Electronic,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91E-06,0.325,0.486,123.07,213309,4
6vN77lE9LK6HP2DewaN6H,Yes Indeed,Lil Baby,Hip-Hop/Rap,0.964,0.346,5,-9.309,0,0.53,0.035,0,0.108,0.562,119.958,142273,4
2P91MQbaiQOfbiz9VqhqK,I Like Me Better,Lauv,Pop,0.752,0.505,9,-7.621,1,0.253,0.535,2.55E-06,0.104,0.419,91.97,197437,4
2xGjteMU3E1tkEPVFBO08,This Is Me,Keala Settle,Pop,0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707,4
3GVkPk8mqxz0itaAriG1L,Everybody Dies In Their Nightmares,XXXTENTACION,Hip-Hop/Rap,0.734,0.57,7,-7.066,0,0.133,0.847,2.14E-05,0.112,0.689,129.953,95467,4
630sXRhIcfwr2e4RdNtjK,Rewrite The Stars,Zac Efron,Pop,0.684,0.619,10,-7.005,1,0.0386,0.0716,0,0.122,0.284,125.046,217440,4
2xmrfQpmS2iJExTlklLoA,I Miss You (feat. Julia Michaels),Clean Bandit,Pop,0.638,0.658,3,-6.318,1,0.0456,0.245,3.77E-06,0.0919,0.33,105.076,205748,4
5WvAo7DNuPRmk4APhdPzi,No Brainer,DJ Khaled,Hip-Hop/Rap,0.552,0.76,0,-4.706,1,0.342,0.0733,0,0.0865,0.639,135.702,260000,5
1j4kHkkpqZRBwE0A4CN4Y,Dusk Till Dawn - Radio Edit,ZAYN,Pop,0.258,0.437,11,-6.593,0,0.039,0.101,1.27E-06,0.106,0.0967,180.043,239000,4
3EPXxR3ImUwfayaurPi3c,Be Alright,Dean Lewis,Pop,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,196373,4
